order_id,order_date,customer_id,product_id,quantity,discount,shipping_cost,payment_method,region,order_status,customer_name,gender,age,city,state,signup_date,product_name,category,subcategory,selling_price,cost_price,gross_sales,discount_amount,net_sales,product_cost,profit_before_shipping,profit,profit_margin,is_delivered,is_returned,is_cancelled,realized_sales,realized_profit,year,month,month_name,quarter,year_month,age_group
ORD000011,2025-06-09,CUST02166,PROD0092,1,0.25,452.77,Net Banking,North,Delivered,Priya Patel,Male,36,Lucknow,Uttar Pradesh,2023-03-05,Office Chair 1,Home & Kitchen,Furniture,13876.51,7902.64,13876.51,3469.1275,10407.3825,7902.64,2504.7424999999994,2051.9724999999994,0.19716508930079196,1,0,0,10407.3825,2051.9724999999994,2025,6,June,Q2,2025-06,36-45
ORD000012,2024-11-07,CUST00273,PROD0067,1,0.25,283.29,Wallet,South,Returned,Pooja Gupta,Male,31,Bhopal,Madhya Pradesh,2023-02-07,Power Bank 4,Electronics,Accessories,3490.2,2550.1,3490.2,872.55,2617.6499999999996,2550.1,67.54999999999973,-215.7400000000003,-0.08241743548602767,0,1,0,0.0,0.0,2024,11,November,Q4,2024-11,26-35
ORD000013,2025-02-09,CUST03505,PROD0089,3,0.1,325.72,Credit Card,South,Delivered,Aarav Das,Male,54,Hyderabad,Telangana,2025-10-20,Electric Kettle 5,Home & Kitchen,Kitchen,23715.35,13230.04,71146.04999999999,7114.605,64031.44499999999,39690.12,24341.32499999999,24015.60499999999,0.37505955081913256,1,0,0,64031.44499999999,24015.60499999999,2025,2,February,Q1,2025-02,46-55
ORD000014,2024-05-15,CUST02356,PROD0294,3,0.15,345.45,Credit Card,South,Delivered,Pooja Sharma,Male,56,Bengaluru,Karnataka,2024-10-30,Resistance Bands 7,Sports,Fitness,8134.76,4312.1,24404.28,3660.642,20743.638,12936.300000000001,7807.337999999998,7461.887999999998,0.3597193510607926,1,0,0,20743.638,7461.887999999998,2024,5,May,Q2,2024-05,56+
ORD000015,2023-02-08,CUST02874,PROD0114,2,0.0,391.8,Credit Card,North,Delivered,Meera Das,Female,56,Chandigarh,Chandigarh,2025-11-05,Fan 2,Home & Kitchen,Appliances,11304.02,8892.05,22608.04,0.0,22608.04,17784.1,4823.940000000002,4432.140000000002,0.1960426467752181,1,0,0,22608.04,4432.140000000002,2023,2,February,Q1,2023-02,56+
ORD000016,2024-11-13,CUST04736,PROD0194,1,0.2,30.72,Debit Card,West,Delivered,Pooja Singh,Female,25,Ahmedabad,Gujarat,2023-12-23,Running Shoes 5,Fashion,Footwear,1309.6,822.5,1309.6,261.92,1047.6799999999998,822.5,225.17999999999984,194.45999999999984,0.18561010995723873,1,0,0,1047.6799999999998,194.45999999999984,2024,11,November,Q4,2024-11,18-25
ORD000017,2023-10-29,CUST04127,PROD0189,4,0.25,246.04,Cash On Delivery,North,Delivered,Aarav Kumar,Male,39,Lucknow,Uttar Pradesh,2025-02-23,Dress 7,Fashion,Women,2883.34,1840.43,11533.36,2883.34,8650.02,7361.72,1288.3000000000002,1042.2600000000002,0.12049220695443481,1,0,0,8650.02,1042.2600000000002,2023,10,October,Q4,2023-10,36-45
ORD000018,2024-03-18,CUST03890,PROD0025,1,0.15,54.25,Credit Card,North,Delivered,Aarav Das,Female,49,Chandigarh,Chandigarh,2024-10-28,Business Laptop 4,Electronics,Laptop,9468.53,5692.15,9468.53,1420.2795,8048.2505,5692.15,2356.1005000000005,2301.8505000000005,0.2860063190130576,1,0,0,8048.2505,2301.8505000000005,2024,3,March,Q1,2024-03,46-55
ORD000019,2024-09-14,CUST01767,PROD0130,2,0.05,219.39,Cash On Delivery,South,Delivered,Nikhil Sinha,Female,55,Hyderabad,Telangana,2023-12-26,Vacuum Cleaner 4,Home & Kitchen,Appliances,7368.47,3993.98,14736.94,736.8470000000001,14000.093,7987.96,6012.133000000001,5792.743,0.4137646085636717,1,0,0,14000.093,5792.743,2024,9,September,Q3,2024-09,46-55
ORD000020,2023-08-03,CUST02004,PROD0120,2,0.25,122.2,Debit Card,North,Delivered,Vikram Mehta,Male,25,Delhi,Delhi,2023-04-18,Iron 1,Home & Kitchen,Appliances,28393.56,23963.81,56787.12,14196.78,42590.340000000004,47927.62,-5337.279999999999,-5459.479999999999,-0.12818587501297238,1,0,0,42590.340000000004,-5459.479999999999,2023,8,August,Q3,2023-08,18-25
ORD000021,2025-09-03,CUST03455,PROD0046,2,0.25,240.79,Credit Card,East,Delivered,Pooja Roy,Female,39,Patna,Bihar,2025-05-17,Bluetooth Speaker 4,Electronics,Audio,14229.19,9343.47,28458.38,7114.595,21343.785,18686.94,2656.845000000001,2416.055000000001,0.1131971203795391,1,0,0,21343.785,2416.055000000001,2025,9,September,Q3,2025-09,36-45
ORD000022,2024-07-27,CUST03658,PROD0155,3,0.15,446.49,Credit Card,East,Delivered,Rohan Jha,Female,56,Bhubaneswar,Odisha,2025-03-12,Jacket 1,Fashion,Men,4400.06,2541.09,13200.18,1980.027,11220.153,7623.27,3596.883,3150.393,0.2807798610232855,1,0,0,11220.153,3150.393,2024,7,July,Q3,2024-07,56+
ORD000023,2024-05-16,CUST01114,PROD0199,4,0.15,357.41,Cash On Delivery,West,Delivered,Pooja Kumar,Female,62,Mumbai,Maharashtra,2025-09-16,Sandals 3,Fashion,Footwear,5104.34,2805.66,20417.36,3062.604,17354.756,11222.64,6132.116000000002,5774.706000000002,0.33274486832312716,1,0,0,17354.756,5774.706000000002,2024,5,May,Q2,2024-05,56+
ORD000024,2025-09-27,CUST04541,PROD0310,3,0.1,484.11,Debit Card,South,Delivered,Rahul Mehta,Male,61,Bengaluru,Karnataka,2025-12-11,Badminton Racket 2,Sports,Outdoor,7931.4,4469.84,23794.199999999997,2379.4199999999996,21414.78,13409.52,8005.259999999998,7521.149999999999,0.35121304071300286,1,0,0,21414.78,7521.149999999999,2025,9,September,Q3,2025-09,56+
ORD000025,2024-05-05,CUST02350,PROD0333,4,0.2,95.02,Debit Card,North,Delivered,Shreya Gupta,Male,36,Lucknow,Uttar Pradesh,2023-02-18,Water Bottle 4,Sports,Cycling,3203.47,2503.09,12813.88,2562.776,10251.104,10012.36,238.74399999999878,143.7239999999988,0.014020343564946644,1,0,0,10251.104,143.7239999999988,2024,5,May,Q2,2024-05,36-45
ORD000026,2024-06-03,CUST03655,PROD0236,3,0.0,253.81,Net Banking,West,Delivered,Sneha Sinha,Female,27,Mumbai,Maharashtra,2025-02-23,Shampoo 5,Beauty,Haircare,1085.89,854.69,3257.67,0.0,3257.67,2564.07,693.5999999999999,439.7899999999999,0.13500139670377906,1,0,0,3257.67,439.7899999999999,2024,6,June,Q2,2024-06,26-35
ORD000027,2023-02-21,CUST03894,PROD0145,1,0.05,480.4,Net Banking,North,Delivered,Kavya Kumar,Female,50,Noida,Uttar Pradesh,2025-06-29,Jeans 5,Fashion,Men,1732.78,1326.2,1732.78,86.63900000000001,1646.141,1326.2,319.94100000000003,-160.45899999999995,-0.09747585413400185,1,0,0,1646.141,-160.45899999999995,2023,2,February,Q1,2023-02,46-55
ORD000028,2024-09-23,CUST02906,PROD0042,2,0.1,170.08,Upi,North,Delivered,Riya Verma,Male,31,Delhi,Delhi,2024-10-06,Earbuds 7,Electronics,Audio,71102.02,53239.89,142204.04,14220.404000000002,127983.636,106479.78,21503.856,21333.775999999998,0.16669143545820184,1,0,0,127983.636,21333.775999999998,2024,9,September,Q3,2024-09,26-35
ORD000029,2024-03-01,CUST03860,PROD0107,1,0.2,400.72,Wallet,North,Delivered,Karan Gupta,Female,26,Nagpur,Maharashtra,2023-04-30,Bookshelf 2,Home & Kitchen,Furniture,17282.94,11436.68,17282.94,3456.5879999999997,13826.351999999999,11436.68,2389.6719999999987,1988.9519999999986,0.14385226124721825,1,0,0,13826.351999999999,1988.9519999999986,2024,3,March,Q1,2024-03,26-35
ORD000030,2023-03-10,CUST04678,PROD0143,3,0.1,197.82,Cash On Delivery,North,Delivered,Meera Kumar,Female,22,Chandigarh,Chandigarh,2024-07-02,Jeans 3,Fashion,Men,1958.38,1445.54,5875.14,587.514,5287.626,4336.62,951.0060000000003,753.1860000000004,0.14244313043320392,1,0,0,5287.626,753.1860000000004,2023,3,March,Q1,2023-03,18-25
ORD000031,2024-12-04,CUST02380,PROD0135,1,0.1,201.76,Debit Card,South,Returned,Nikhil Mishra,Female,32,Hyderabad,Telangana,2024-10-12,Shirt 2,Fashion,Men,2003.18,1583.67,2003.18,200.318,1802.862,1583.67,219.192,17.432000000000016,0.009669070622155227,0,1,0,0.0,0.0,2024,12,December,Q4,2024-12,26-35
ORD000032,2025-04-22,CUST01641,PROD0067,1,0.0,435.0,Upi,East,Delivered,Kavya Mishra,Male,38,Kolkata,West Bengal,2023-04-01,Power Bank 4,Electronics,Accessories,3490.2,2550.1,3490.2,0.0,3490.2,2550.1,940.0999999999999,505.0999999999999,0.14471950031516817,1,0,0,3490.2,505.0999999999999,2025,4,April,Q2,2025-04,36-45
ORD000033,2023-06-11,CUST00237,PROD0293,1,0.25,413.02,Cash On Delivery,East,Returned,Neha Sinha,Female,54,Kolkata,West Bengal,2025-01-27,Resistance Bands 6,Sports,Fitness,3913.89,3217.17,3913.89,978.4725,2935.4175,3217.17,-281.75250000000005,-694.7725,-0.23668609320479966,0,1,0,0.0,0.0,2023,6,June,Q2,2023-06,46-55
ORD000034,2023-06-09,CUST02963,PROD0216,1,0.25,421.77,Upi,East,Delivered,Rahul Shah,Female,65,Patna,Bihar,2025-07-09,Face Wash 6,Beauty,Skincare,3003.47,2077.81,3003.47,750.8675,2252.6025,2077.81,174.79250000000002,-246.97749999999996,-0.1096409597343517,1,0,0,2252.6025,-246.97749999999996,2023,6,June,Q2,2023-06,56+
ORD000035,2025-10-25,CUST00834,PROD0163,1,0.15,218.84,Upi,East,Delivered,Kavya Mishra,Female,41,Nagpur,Maharashtra,2023-01-03,Saree 2,Fashion,Women,4025.28,2731.95,4025.28,603.792,3421.4880000000003,2731.95,689.5380000000005,470.69800000000043,0.13757113863909515,1,0,0,3421.4880000000003,470.69800000000043,2025,10,October,Q4,2025-10,36-45
ORD000036,2025-07-07,CUST02511,PROD0241,1,0.0,270.23,Wallet,North,Delivered,Ananya Verma,Female,25,Delhi,Delhi,2023-09-16,Hair Oil 3,Beauty,Haircare,764.06,574.62,764.06,0.0,764.06,574.62,189.43999999999994,-80.79000000000008,-0.10573776928513479,1,0,0,764.06,-80.79000000000008,2025,7,July,Q3,2025-07,18-25
ORD000037,2025-04-22,CUST03782,PROD0299,1,0.25,287.35,Credit Card,North,Delivered,Sanjay Das,Female,42,Lucknow,Uttar Pradesh,2024-07-23,Cricket Bat 5,Sports,Outdoor,4129.59,2819.28,4129.59,1032.3975,3097.1925,2819.28,277.9124999999999,-9.437500000000114,-0.003047114443161061,1,0,0,3097.1925,-9.437500000000114,2025,4,April,Q2,2025-04,36-45
ORD000038,2023-09-30,CUST00130,PROD0191,1,0.1,37.88,Wallet,South,Delivered,Rohan Verma,Female,35,Hyderabad,Telangana,2024-01-15,Running Shoes 2,Fashion,Footwear,2543.08,1939.86,2543.08,254.308,2288.772,1939.86,348.91200000000003,311.03200000000004,0.13589470685590355,1,0,0,2288.772,311.03200000000004,2023,9,September,Q3,2023-09,26-35
ORD000039,2024-04-21,CUST02263,PROD0085,2,0.0,299.9,Credit Card,East,Delivered,Ananya Sharma,Female,56,Guwahati,Assam,2024-11-08,Electric Kettle 1,Home & Kitchen,Kitchen,22516.09,16699.77,45032.18,0.0,45032.18,33399.54,11632.64,11332.74,0.2516587027321351,1,0,0,45032.18,11332.74,2024,4,April,Q2,2024-04,56+
ORD000040,2024-10-08,CUST02342,PROD0009,1,0.15,322.88,Net Banking,North,Delivered,Kavya Choudhary,Male,37,Chandigarh,Chandigarh,2025-04-02,Feature Phone 2,Electronics,Mobile,49609.81,39122.01,49609.81,7441.4715,42168.3385,39122.01,3046.328499999996,2723.448499999996,0.064585150776097,1,0,0,42168.3385,2723.448499999996,2024,10,October,Q4,2024-10,36-45
ORD000041,2024-06-02,CUST01275,PROD0035,1,0.0,441.57,Cash On Delivery,South,Delivered,Rahul Shah,Male,62,Hyderabad,Telangana,2024-03-31,Headphones 7,Electronics,Audio,36522.85,26475.37,36522.85,0.0,36522.85,26475.37,10047.48,9605.91,0.2630109643688814,1,0,0,36522.85,9605.91,2024,6,June,Q2,2024-06,56+
ORD000042,2025-09-19,CUST00265,PROD0158,1,0.05,289.33,Upi,South,Delivered,Priya Sharma,Male,63,Bengaluru,Karnataka,2025-10-30,Jacket 4,Fashion,Men,1298.94,926.62,1298.94,64.947,1233.993,926.62,307.37299999999993,18.04299999999995,0.014621638858567229,1,0,0,1233.993,18.04299999999995,2025,9,September,Q3,2025-09,56+
ORD000043,2023-12-10,CUST04099,PROD0174,1,0.1,418.98,Upi,East,Delivered,Ananya Sinha,Male,46,Bhubaneswar,Odisha,2023-09-01,Kurti 6,Fashion,Women,4736.88,2725.35,4736.88,473.68800000000005,4263.192,2725.35,1537.842,1118.862,0.26244701153501887,1,0,0,4263.192,1118.862,2023,12,December,Q4,2023-12,46-55
ORD000044,2024-07-31,CUST04962,PROD0135,1,0.25,460.67,Credit Card,East,Delivered,Karan Jha,Male,24,Kolkata,West Bengal,2025-03-05,Shirt 2,Fashion,Men,2003.18,1583.67,2003.18,500.795,1502.385,1583.67,-81.28500000000008,-541.9550000000002,-0.36072977299427256,1,0,0,1502.385,-541.9550000000002,2024,7,July,Q3,2024-07,18-25
ORD000045,2024-04-07,CUST03940,PROD0331,3,0.0,224.4,Net Banking,North,Delivered,Pooja Verma,Male,28,Lucknow,Uttar Pradesh,2024-11-13,Water Bottle 2,Sports,Cycling,5801.59,3723.73,17404.77,0.0,17404.77,11171.19,6233.58,6009.18,0.3452605234082381,1,0,0,17404.77,6009.18,2024,4,April,Q2,2024-04,26-35
ORD000046,2023-07-04,CUST00783,PROD0105,4,0.1,267.58,Credit Card,South,Delivered,Vikram Das,Female,46,Bengaluru,Karnataka,2024-04-11,Study Table 7,Home & Kitchen,Furniture,16017.76,10978.5,64071.04,6407.104,57663.936,43914.0,13749.936000000002,13482.356000000002,0.23380915239639558,1,0,0,57663.936,13482.356000000002,2023,7,July,Q3,2023-07,46-55
ORD000047,2025-02-04,CUST02911,PROD0264,1,0.15,281.22,Upi,West,Delivered,Rahul Mehta,Male,36,Mumbai,Maharashtra,2024-05-17,Foundation 5,Beauty,Makeup,1024.82,766.52,1024.82,153.72299999999998,871.097,766.52,104.577,-176.64300000000003,-0.20278223894698297,1,0,0,871.097,-176.64300000000003,2025,2,February,Q1,2025-02,36-45
ORD000048,2025-01-16,CUST04320,PROD0276,2,0.25,259.81,Cash On Delivery,North,Delivered,Sneha Roy,Male,30,Delhi,Delhi,2024-10-28,Yoga Mat 3,Sports,Fitness,2015.39,1385.93,4030.78,1007.695,3023.085,2771.86,251.2249999999999,-8.585000000000093,-0.002839814295661582,1,0,0,3023.085,-8.585000000000093,2025,1,January,Q1,2025-01,26-35
ORD000049,2025-12-06,CUST00475,PROD0296,1,0.25,460.84,Cash On Delivery,North,Returned,Aditya Roy,Female,45,Noida,Uttar Pradesh,2025-02-17,Cricket Bat 2,Sports,Outdoor,3407.74,2087.41,3407.74,851.935,2555.805,2087.41,468.395,7.555000000000007,0.0029560158149780627,0,1,0,0.0,0.0,2025,12,December,Q4,2025-12,36-45
ORD000050,2025-11-28,CUST02706,PROD0185,3,0.0,246.54,Cash On Delivery,East,Delivered,Sanjay Singh,Male,24,Kolkata,West Bengal,2023-11-06,Dress 3,Fashion,Women,2237.03,1736.36,6711.09,0.0,6711.09,5209.08,1502.0100000000002,1255.4700000000003,0.1870739328484643,1,0,0,6711.09,1255.4700000000003,2025,11,November,Q4,2025-11,18-25
ORD000051,2023-07-18,CUST04408,PROD0106,2,0.1,287.43,Wallet,North,Delivered,Sneha Sinha,Female,34,Bhopal,Madhya Pradesh,2024-12-27,Bookshelf 1,Home & Kitchen,Furniture,7940.85,5354.95,15881.7,1588.17,14293.53,10709.9,3583.630000000001,3296.200000000001,0.23060783445377042,1,0,0,14293.53,3296.200000000001,2023,7,July,Q3,2023-07,26-35
ORD000052,2025-12-27,CUST00455,PROD0101,1,0.1,118.87,Credit Card,East,Delivered,Neha Singh,Male,54,Ranchi,Jharkhand,2023-06-07,Study Table 3,Home & Kitchen,Furniture,22583.58,17939.52,22583.58,2258.358,20325.222,17939.52,2385.702000000001,2266.8320000000012,0.11152803152654377,1,0,0,20325.222,2266.8320000000012,2025,12,December,Q4,2025-12,46-55
ORD000053,2023-11-18,CUST01418,PROD0160,1,0.2,299.89,Wallet,West,Delivered,Amit Yadav,Female,39,Surat,Gujarat,2025-07-20,Jacket 6,Fashion,Men,3170.75,1939.39,3170.75,634.1500000000001,2536.6,1939.39,597.2099999999998,297.3199999999998,0.11721201608452253,1,0,0,2536.6,297.3199999999998,2023,11,November,Q4,2023-11,36-45
ORD000054,2023-07-28,CUST00427,PROD0301,1,0.2,102.73,Credit Card,West,Delivered,Riya Verma,Female,37,Pune,Maharashtra,2024-03-20,Cricket Bat 7,Sports,Outdoor,5026.1,3186.73,5026.1,1005.2200000000001,4020.88,3186.73,834.1500000000001,731.4200000000001,0.18190545353256005,1,0,0,4020.88,731.4200000000001,2023,7,July,Q3,2023-07,36-45
ORD000055,2025-04-02,CUST00714,PROD0152,1,0.05,186.2,Wallet,South,Delivered,Arjun Sinha,Male,34,Bengaluru,Karnataka,2025-11-13,T-Shirt 5,Fashion,Men,3302.0,2715.24,3302.0,165.10000000000002,3136.9,2715.24,421.6600000000003,235.46000000000032,0.07506136631706471,1,0,0,3136.9,235.46000000000032,2025,4,April,Q2,2025-04,26-35
ORD000056,2023-05-09,CUST01604,PROD0028,1,0.0,57.68,Debit Card,East,Delivered,Aditya Yadav,Male,54,Ranchi,Jharkhand,2024-09-05,Business Laptop 7,Electronics,Laptop,36268.94,26442.68,36268.94,0.0,36268.94,26442.68,9826.260000000002,9768.580000000002,0.2693373448465823,1,0,0,36268.94,9768.580000000002,2023,5,May,Q2,2023-05,46-55
ORD000057,2025-12-27,CUST03685,PROD0226,1,0.25,450.04,Cash On Delivery,North,Returned,Sneha Choudhary,Male,44,Nagpur,Maharashtra,2024-02-05,Sunscreen 2,Beauty,Skincare,499.12,390.29,499.12,124.78,374.34000000000003,390.29,-15.949999999999989,-465.99,-1.2448309023882032,0,1,0,0.0,0.0,2025,12,December,Q4,2025-12,36-45
ORD000058,2024-09-12,CUST03337,PROD0185,2,0.1,244.61,Wallet,East,Delivered,Rohan Mishra,Male,60,Ranchi,Jharkhand,2024-11-21,Dress 3,Fashion,Women,2237.03,1736.36,4474.06,447.40600000000006,4026.6540000000005,3472.72,553.9340000000007,309.32400000000064,0.0768191158217221,1,0,0,4026.6540000000005,309.32400000000064,2024,9,September,Q3,2024-09,56+
ORD000059,2024-09-17,CUST03541,PROD0122,1,0.1,398.05,Wallet,West,Returned,Pooja Gupta,Male,24,Mumbai,Maharashtra,2024-06-25,Iron 3,Home & Kitchen,Appliances,18444.76,15909.2,18444.76,1844.4759999999999,16600.284,15909.2,691.0839999999989,293.0339999999989,0.01765234859837331,0,1,0,0.0,0.0,2024,9,September,Q3,2024-09,18-25
ORD000060,2023-07-21,CUST04896,PROD0303,1,0.2,190.38,Upi,East,Delivered,Sanjay Singh,Male,26,Nagpur,Maharashtra,2024-12-29,Football 2,Sports,Outdoor,2838.73,2180.59,2838.73,567.746,2270.984,2180.59,90.39399999999978,-99.98600000000022,-0.04402761093869451,1,0,0,2270.984,-99.98600000000022,2023,7,July,Q3,2023-07,26-35
ORD000061,2023-07-30,CUST00673,PROD0317,1,0.0,491.64,Net Banking,North,Delivered,Amit Gupta,Female,55,Jaipur,Rajasthan,2024-03-22,Helmet 2,Sports,Cycling,7716.85,5282.9,7716.85,0.0,7716.85,5282.9,2433.9500000000007,1942.3100000000009,0.2516972598923137,1,0,0,7716.85,1942.3100000000009,2023,7,July,Q3,2023-07,46-55
ORD000062,2023-05-01,CUST00765,PROD0009,3,0.25,105.22,Debit Card,South,Delivered,Priya Sinha,Male,42,Bengaluru,Karnataka,2024-01-18,Feature Phone 2,Electronics,Mobile,49609.81,39122.01,148829.43,37207.3575,111622.0725,117366.03,-5743.957500000004,-5849.177500000004,-0.052401620656165514,1,0,0,111622.0725,-5849.177500000004,2023,5,May,Q2,2023-05,36-45
ORD000063,2023-10-17,CUST01012,PROD0208,1,0.2,101.41,Upi,North,Delivered,Nikhil Shah,Female,63,Chandigarh,Chandigarh,2023-10-02,Formal Shoes 5,Fashion,Footwear,4857.73,3900.34,4857.73,971.5459999999999,3886.1839999999997,3900.34,-14.156000000000404,-115.5660000000004,-0.029737655242263468,1,0,0,3886.1839999999997,-115.5660000000004,2023,10,October,Q4,2023-10,56+
ORD000064,2025-04-03,CUST04090,PROD0183,1,0.15,478.66,Upi,North,Delivered,Nikhil Mishra,Male,25,Delhi,Delhi,2023-01-07,Dress 1,Fashion,Women,573.72,322.93,573.72,86.058,487.66200000000003,322.93,164.73200000000003,-313.928,-0.6437409517247601,1,0,0,487.66200000000003,-313.928,2025,4,April,Q2,2025-04,18-25
ORD000065,2023-06-26,CUST02220,PROD0255,2,0.0,297.29,Credit Card,West,Delivered,Aditi Mishra,Female,34,Pune,Maharashtra,2025-04-17,Lipstick 3,Beauty,Makeup,993.75,813.9,1987.5,0.0,1987.5,1627.8,359.70000000000005,62.410000000000025,0.03140125786163523,1,0,0,1987.5,62.410000000000025,2023,6,June,Q2,2023-06,26-35
ORD000066,2023-09-23,CUST02882,PROD0253,3,0.2,53.1,Credit Card,West,Delivered,Riya Singh,Male,32,Bhopal,Madhya Pradesh,2024-06-16,Lipstick 1,Beauty,Makeup,1935.89,1130.14,5807.67,1161.534,4646.136,3390.42,1255.7160000000003,1202.6160000000004,0.2588421862812454,1,0,0,4646.136,1202.6160000000004,2023,9,September,Q3,2023-09,26-35
ORD000067,2025-08-06,CUST00250,PROD0024,4,0.1,319.37,Wallet,North,Delivered,Priya Choudhary,Female,62,Delhi,Delhi,2024-10-27,Business Laptop 3,Electronics,Laptop,33362.45,19868.21,133449.8,13344.98,120104.81999999999,79472.84,40631.979999999996,40312.60999999999,0.3356452305577744,1,0,0,120104.81999999999,40312.60999999999,2025,8,August,Q3,2025-08,56+
ORD000068,2025-08-06,CUST01568,PROD0285,4,0.05,71.53,Debit Card,North,Delivered,Rohan Gupta,Male,32,Delhi,Delhi,2024-02-12,Dumbbells 5,Sports,Fitness,8230.72,5838.4,32922.88,1646.144,31276.735999999997,23353.6,7923.135999999999,7851.605999999999,0.25103661712014963,1,0,0,31276.735999999997,7851.605999999999,2025,8,August,Q3,2025-08,26-35
ORD000069,2025-11-14,CUST00367,PROD0170,3,0.25,362.05,Credit Card,West,Cancelled,Nikhil Verma,Female,60,Mumbai,Maharashtra,2023-10-10,Kurti 2,Fashion,Women,3039.64,1734.67,9118.92,2279.73,6839.1900000000005,5204.01,1635.1800000000003,1273.1300000000003,0.18615216129395443,0,0,1,0.0,0.0,2025,11,November,Q4,2025-11,56+
ORD000070,2023-02-02,CUST04228,PROD0205,3,0.0,289.64,Credit Card,South,Delivered,Rohan Singh,Male,63,Chennai,Tamil Nadu,2025-07-21,Formal Shoes 2,Fashion,Footwear,2513.72,1978.82,7541.16,0.0,7541.16,5936.46,1604.6999999999998,1315.06,0.17438431222782702,1,0,0,7541.16,1315.06,2023,2,February,Q1,2023-02,56+
